公司简称,公司全称,公司性质,公司规模,公司所在行业,JD数量,公司所在地_1,公司所在地_2,公司排序
,广东易知谷,民营企业,15-50人,广告/传媒/公关/展览,13,广东,佛山,9
,广东有策信息咨询有限公司,民营企业,50-150人,金融/经济/投资/财会,25,广东,广州,8
,广东正邦,民营企业,2000人以上,农林牧渔/其他,2,广东,清远,5
,广东永旺,民营企业,500-2000人,快消/百货/批发/零售,20,广东省,广州市,6
,广东牛多多信息科技有限公司,国有企业,50-150人,互联网/游戏/软件,43,广东,佛山,8
,广东瑞鸿,国有企业,50-150人,交通/贸易/物流,6,广东,佛山,8
,广东省信息工程,民营企业,150-500人,软件/互联网/游戏,30,广东,广州,7
,广东腾业,民营企业,50-150人,企业服务/咨询,13,广东,广州,8
,广东腾越,外资企业,2000人以上,房产/家居/物业/建筑,17,江苏,南京,5
,广东航天706,国有企业,50-150人,互联网/游戏/软件,18,广东,广州,8
,广东讯联,民营企业,15-50人,不限,56,广东,广州,9
,广东财贸,民营企业,500-2000人,房产/家居/物业/建筑,15,广东,广州,6
,广东重工,民营企业,150-500人,房产/家居/物业/建筑,24,广东省,广州市,7
,广东骏亚,民营企业,2000人以上,电子/通信/硬件,25,广东,惠州,5
,广发卡,国有企业,2000人以上,投资/经济/财会/金融,22,广东,广州,5
,广发租房,民营企业,2000人以上,房产/家居/物业/建筑,1,湖北,武汉,5
,广发银行信用卡中心,国有企业,2000人以上,金融/经济/投资/财会,34,广东省,佛山市,5
,广州一川电商,民营企业,50-150人,快消/百货/批发/零售,41,广东,广州,8
,广州久道家用电器有限公司,民营企业,50-150人,汽车/机械/制造,20,广东,广州,8
,广州乐牛,民营企业,150-500人,软件/互联网/游戏,579,广东,广州,7
,广州传悦化妆品,民营企业,15-50人,快消/百货/批发/零售,3,广东,广州,9
,广州千江企业,民营企业,50-150人,医疗/健康/制药/生物,14,广东,广州,8
,广州千洛,民营企业,150-500人,快消/百货/批发/零售,196,广东,广州,7
