公司简称,公司全称,公司性质,公司规模,公司所在行业,JD数量,公司所在地_1,公司所在地_2,公司排序
沐曦集成电路,沐曦集成电路,民营企业,500-2000人,通信/电子/硬件,75,上海,上海,1
乐有家,河源乐有家,民营企业,50-150人,房产/家居/物业/建筑,37,广东,河源,1
微软,泛微软件,民营企业,2000人以上,互联网/游戏/软件,10,北京,北京,4
泰信基金,泰信基金管理有限公司,国有企业,50-150人,金融/经济/投资/财会,33,上海,上海,2
泰康人寿,泰康人寿 ,股份制企业,500-2000人,金融/经济/投资/财会,10,河北,石家庄,1
泰康人寿,泰康人寿天津分公司,民营企业,150-500人,投资/财会/经济/金融,35,天津,天津,1
泰康人寿,泰康人寿青岛分公司,民营企业,2000人以上,金融/经济/投资/财会,23,山东省,,1
泰康在线,泰康在线,股份制企业,500-2000人,投资/财会/经济/金融,822,北京,北京,2
泰豪创意科技股份,泰豪,股份制企业,500-2000人,游戏/软件/互联网,29,北京,北京,4
华为,浙江华为,民营企业,500-2000人,互联网/游戏/软件,17,浙江,杭州,1
链家,浙江链家,民营企业,2000人以上,房产/家居/物业/建筑,14,浙江,杭州,1
浪潮/浪潮云,浪潮,民营企业,2000人以上,游戏/软件/互联网,30,山东省,济南市,4
浪潮,浪潮工业互联网,国有企业,500-2000人,互联网/游戏/软件,95,山东,济南,4
浪潮,浪潮通用软件,民营企业,2000人以上,游戏/软件/互联网,103,山东,济南,4
浪潮,浪潮集团,国有企业,2000人以上,通信/电子/硬件,30,北京,北京,4
海康威视,海康威视,股份制企业,2000人以上,电子/通信/硬件,33,浙江,杭州,1
润建股份,润建股份,民营企业,2000人以上,电子/通信/硬件,23,安徽,合肥市,2
润建股份,润建股份有限公司,股份制企业,2000人以上,通信/电子/硬件,206,广西,南宁,2
乐有家,深圳乐有家控股集团,,2000人以上,地产经纪)/房地产服务(物业管理,106,全国,全国,1
乐有家,深圳市乐有家控股集团,民营企业,2000人以上,房产/家居/物业/建筑,15,广东,,1
链家,深圳链家,民营企业,2000人以上,物业/家居/房产/建筑,18,广东省,深圳市,1
龙湖,深圳龙湖,民营企业,150-500人,房产/家居/物业/建筑,1,广东省,深圳市,4
游族/游族网络,游族网络,民营企业,500-2000人,游戏/软件/互联网,121,上海,上海,4
乐有家,湛江乐有家,民营企业,2000人以上,物业/家居/房产/建筑,62,广东,湛江,1
乐有家,湛江市乐有家房产经纪有限公司盛和园分公司,民营企业,2000人以上,房产/家居/物业/建筑,25,广东,湛江,1
爱康医疗,爱康医疗,民营企业,500-2000人,制药/健康/医疗/生物,110,北京,北京,3
爱德曼,爱德曼,外资企业,50-150人,农林牧渔/其他,6,北京,北京,1
猿辅导,猿辅导 ,民营企业,500-2000人,互联网/游戏/软件,8,辽宁,沈阳,1
玛雅房屋,玛雅房屋,民营企业,50-150人,物业/家居/房产/建筑,56,四川,四川,2
环球网校,环球网校,股份制企业,2000人以上,培训/教育,74,天津,天津,2
广东珠江投资股份,珠江投资,民营企业,500-2000人,物业/家居/房产/建筑,42,上海,上海,4
万科,珠海万科,股份制企业,500-2000人,房产/家居/物业/建筑,7,广东,珠海市,1
乐有家,珠海乐有家,股份制企业,2000人以上,房产/家居/物业/建筑,8,广东,珠海,1
